lon,lat,x,y,x_scaled,y_scaled
56.42642892927676,18.98015423456562,228,15,0.890625,0.05859375
56.42835123348736,18.98039660652331,222,60,0.8671875,0.234375
56.42690492841463,18.987321370613312,52,26,0.203125,0.1015625
56.426483852254215,18.981617117093958,192,16,0.75,0.0625
56.43101499789347,18.981184312950376,203,122,0.79296875,0.4765625
56.42984330770797,18.97943577276196,246,95,0.9609375,0.37109375
56.43145438171304,18.982880898757116,161,132,0.62890625,0.515625
56.43240637998876,18.98488908003109,112,154,0.4375,0.6015625
56.43070376768795,18.986204771874387,79,115,0.30859375,0.44921875
56.42799423413397,18.98320982665845,153,52,0.59765625,0.203125
56.42731685074548,18.9839369281353,135,36,0.52734375,0.140625
56.426346544810606,18.983504130019558,146,13,0.5703125,0.05078125
