lon,lat,x,y,x_scaled,y_scaled
56.46546865291879,19.259940139296084,240,157,0.9375,0.61328125
56.459130786886064,19.259747030614317,245,9,0.95703125,0.03515625
56.46076724503336,19.26175534978876,195,47,0.76171875,0.18359375
56.46366513966908,19.26182615546459,194,115,0.7578125,0.44921875
56.463181020800526,19.263068468256584,163,103,0.63671875,0.40234375
56.461374098262965,19.26074475635573,220,61,0.859375,0.23828125
56.46195367719012,19.25948311504811,251,75,0.98046875,0.29296875
56.459805825871896,19.26376364436417,146,25,0.5703125,0.09765625
56.46206277439996,19.26464548388894,124,77,0.484375,0.30078125
56.45878985810548,19.26361559784756,149,1,0.58203125,0.00390625
56.45920579121791,19.265565939063087,101,11,0.39453125,0.04296875
56.46352194958125,19.26629328809748,83,111,0.32421875,0.43359375
56.46208663941462,19.266296506448864,83,78,0.32421875,0.3046875
56.46287759418578,19.26675673004668,72,96,0.28125,0.375
56.46249916323924,19.26649604411148,78,88,0.3046875,0.34375
56.465935725348416,19.26489329925193,118,168,0.4609375,0.65625
56.4685472398084,19.26617420905172,86,229,0.3359375,0.89453125
56.469270008823415,19.26656684773983,76,245,0.296875,0.95703125
56.46810403239352,19.269373221468864,7,218,0.02734375,0.8515625
56.466051641133866,19.26826612564496,35,170,0.13671875,0.6640625
56.46727898474429,19.268607266434348,26,199,0.1015625,0.77734375
56.46711533892957,19.269102884806607,14,195,0.0546875,0.76171875
56.459614905754776,19.26916725071902,12,20,0.046875,0.078125
56.46041949767717,19.26771901157569,48,39,0.1875,0.15234375
