lon,lat,x,y,x_scaled,y_scaled
55.96688571037921,18.461817050487333,181,59,0.70703125,0.23046875
55.968947647644725,18.45979136837534,231,107,0.90234375,0.41796875
55.97039591310502,18.45888329621953,253,141,0.98828125,0.55078125
55.9706168349549,18.460245402651683,220,146,0.859375,0.5703125
55.972801506581455,18.46035017962181,217,197,0.84765625,0.76953125
55.9709113974214,18.46152600567768,188,153,0.734375,0.59765625
55.96573200738542,18.45880180232961,255,32,0.99609375,0.125
55.975010725080224,18.45975644261203,232,248,0.90625,0.96875
55.97377110803371,18.464308373861783,120,219,0.46875,0.85546875
55.97221238164846,18.465100001754045,100,183,0.390625,0.71484375
55.972519217551074,18.465821776943343,83,190,0.32421875,0.7421875
55.97422522516956,18.465798493920115,83,230,0.32421875,0.8984375
55.96983133504425,18.46607788999036,76,128,0.296875,0.5
55.969487678833325,18.46505343550854,102,120,0.3984375,0.46875
55.96774485090653,18.46473911302084,109,79,0.42578125,0.30859375
55.96808850711744,18.466136097447727,75,87,0.29296875,0.33984375
55.97193009261808,18.462003318906497,177,177,0.69140625,0.69140625
55.97233511600951,18.46322570039036,146,186,0.5703125,0.7265625
55.97341517838668,18.46295794138149,153,211,0.59765625,0.82421875
55.968947647644754,18.462562122950924,163,107,0.63671875,0.41796875
55.96946313196113,18.461560931080903,187,119,0.73046875,0.46484375
55.973366084642265,18.46788231198621,32,210,0.125,0.8203125
55.97194236605417,18.46880197783113,10,177,0.0390625,0.69140625
55.97132869424896,18.46812678060329,26,162,0.1015625,0.6328125
55.97081320993259,18.46713726262363,50,150,0.1953125,0.5859375
55.965093788708,18.467323525267616,46,17,0.1796875,0.06640625
