lon,lat,x,y,x_scaled,y_scaled
20.967120874878336,29.485891918611145,41,121,0.16015625,0.47265625
20.968843766179795,29.48546679538783,52,161,0.203125,0.62890625
20.96515379425856,29.48544317737868,53,75,0.20703125,0.29296875
20.96520805855152,29.484687398179396,73,77,0.28515625,0.30078125
20.9654386817966,29.483329343266185,110,82,0.4296875,0.3203125
20.963620827982464,29.483187632139643,113,40,0.44140625,0.15625
20.96203359741341,29.483671811003877,100,3,0.390625,0.01171875
20.96831468932344,29.487344409499865,2,149,0.0078125,0.58203125
20.97133992365592,29.48264440431877,128,220,0.5,0.859375
20.971516282608043,29.48310496722431,116,224,0.453125,0.875
20.96344786054865,29.482363932293147,135,36,0.52734375,0.140625
